VRLOG
Date	Time	U panels	U acku	I out	I in	P out	P in
2014-7-21	13:45:07	32.516678	12.409983	3.184882	4.538574	39.524326	147.579361

2014-7-21	13:45:37	32.503738	12.411953	3.071557	4.548340	38.124023	147.838043

2014-7-21	13:46:08	32.501888	12.419833	3.176618	4.782715	39.453064	155.447266

2014-7-21	13:46:38	32.512981	12.437562	3.039685	4.770508	37.806267	155.103439

2014-7-21	13:47:08	32.501884	12.431653	3.240363	4.724121	40.283070	153.542831

2014-7-21	13:47:38	32.500042	12.413922	3.286401	4.399414	40.797123	142.981140

2014-7-21	13:48:08	32.492638	12.411953	3.317093	4.375000	41.171597	142.155289

2014-7-21	13:48:38	32.501892	12.408013	3.248626	4.045410	40.308990	131.483490

2014-7-21	13:49:08	32.509285	12.408013	3.236821	4.191895	40.162525	136.275497

2014-7-21	13:49:38	32.505581	12.408013	3.284040	4.165039	40.748413	135.387009

2014-7-21	13:50:08	32.501888	12.409983	3.258070	4.108887	40.432590	133.546570

2014-7-21	13:50:38	32.505589	12.400133	3.020797	3.952637	37.458286	128.482788

2014-7-21	13:51:08	32.505581	12.402103	3.052670	3.925781	37.859528	127.609802

2014-7-21	13:51:38	32.505581	12.402103	3.060933	4.094238	37.962006	133.085587

2014-7-21	13:52:08	32.498188	12.409983	3.145926	4.355469	39.040894	141.544846

2014-7-21	13:52:38	32.498184	12.408013	3.248626	4.221191	40.309002	137.181061

2014-7-21	13:53:08	32.507427	12.406043	3.241544	3.989258	40.214729	129.680511

2014-7-21	13:53:38	32.492638	12.402103	3.226197	3.908691	40.011635	127.003693

2014-7-21	13:54:08	32.500038	12.406043	3.013714	3.937988	37.388271	127.984772

2014-7-21	13:54:38	32.490795	12.402103	3.119956	3.959961	38.694016	128.662277

2014-7-21	13:55:08	32.494495	12.408013	3.019617	4.206543	37.467453	136.689484

2014-7-21	13:55:38	32.487099	12.408013	3.125858	4.389648	38.785690	142.606949

2014-7-21	13:56:08	32.490788	12.408013	3.161273	4.172363	39.225113	135.563370

2014-7-21	13:56:38	32.487103	12.406042	3.068016	4.309082	38.061935	139.989594

2014-7-21	13:57:09	32.492641	12.408013	3.092805	4.082031	38.375565	132.635971

2014-7-21	13:57:39	32.487095	12.406043	3.239182	4.011230	40.185432	130.313232

2014-7-21	13:58:09	32.485245	12.408013	3.209671	3.994141	39.825642	129.750641

2014-7-21	13:58:39	32.488945	12.402103	3.077460	4.064941	38.166973	132.065659

2014-7-21	13:59:09	32.487099	12.408013	3.072737	3.964844	38.126568	128.806274

2014-7-21	13:59:39	32.487103	12.406043	3.023159	3.889160	37.505440	126.347542

2014-7-21	14:00:09	32.490791	12.409983	3.089264	3.984375	38.337711	129.455490

2014-7-21	14:00:39	32.487095	12.404073	3.236822	4.018555	40.149773	130.551163

2014-7-21	14:01:09	32.485245	12.406042	3.017256	3.952637	37.432209	128.402374

2014-7-21	14:01:39	32.487095	12.408013	3.110512	3.986816	38.595276	129.520081

2014-7-21	14:02:09	32.485245	12.398164	3.196686	3.898926	39.633034	126.657555

2014-7-21	14:02:39	32.483398	12.402104	3.226198	3.947754	40.011642	128.236465

2014-7-21	14:03:09	32.487095	12.406043	3.135302	3.815918	38.896694	123.968086

2014-7-21	14:03:39	32.481552	12.408013	3.190784	3.811035	39.591290	123.788338

2014-7-21	14:04:09	32.487095	12.404074	3.027880	3.742676	37.558048	121.588661

2014-7-21	14:04:39	32.485245	12.406043	3.017256	4.003906	37.432209	130.067871

2014-7-21	14:05:09	32.485245	12.406043	2.992466	3.955078	37.124664	128.481674

2014-7-21	14:05:39	32.479702	12.409983	3.052670	3.981934	37.883575	129.332016

2014-7-21	14:06:09	32.485245	12.406043	3.104610	3.962402	38.515926	128.719604

2014-7-21	14:06:39	32.483398	12.409983	3.115234	4.016113	38.660000	130.457001

2014-7-21	14:07:09	32.483398	12.408013	3.208491	3.869629	39.810997	125.698700

2014-7-21	14:07:40	32.485245	12.406042	3.177799	3.952637	39.423904	128.402374

2014-7-21	14:08:10	32.483398	12.408013	3.147106	3.935547	39.049335	127.839935

2014-7-21	14:08:40	32.483398	12.408013	3.127039	3.918457	38.800343	127.284798

2014-7-21	14:09:10	32.485245	12.408013	3.121136	3.918457	38.727104	127.292038

2014-7-21	14:09:40	32.481552	12.408013	3.104610	4.096680	38.522041	133.066513

2014-7-21	14:10:10	32.487095	12.408013	3.046767	4.003906	37.804333	130.075287

2014-7-21	14:10:40	32.485245	12.409983	3.034963	4.064941	37.663837	132.050613

2014-7-21	14:11:10	32.481552	12.409983	3.012535	4.042969	37.385506	131.321899

2014-7-21	14:11:40	32.479702	12.408013	3.097527	3.859863	38.434158	125.367210

2014-7-21	14:12:10	32.485245	12.408013	2.974759	3.625488	36.910854	117.774872

2014-7-21	14:12:40	32.483398	12.408013	3.137663	3.713379	38.932159	120.623169

2014-7-21	14:13:10	32.485245	12.402103	3.155370	3.742676	39.133224	121.581741

2014-7-21	14:13:40	32.483398	12.408013	3.124678	3.942871	38.771049	128.077850

2014-7-21	14:14:10	32.483398	12.408013	3.115234	3.962402	38.653866	128.712296

2014-7-21	14:14:40	32.485245	12.409983	2.949970	4.023438	36.609077	130.702347

2014-7-21	14:15:10	32.483398	12.409983	3.044407	3.808594	37.781033	123.716064

2014-7-21	14:15:40	32.485245	12.408013	2.926361	3.820801	36.310322	124.119652

2014-7-21	14:16:10	32.485245	12.409983	2.951150	4.052734	36.623722	131.654068

2014-7-21	14:16:40	32.483398	12.409983	3.004271	3.947754	37.282951	128.236465

2014-7-21	14:17:10	32.485245	12.408013	2.985383	3.806152	37.042675	123.643791

2014-7-21	14:17:40	32.485245	12.408013	3.160092	3.837891	39.210461	124.674820

2014-7-21	14:18:11	32.487095	12.408013	3.052670	3.920898	37.877571	127.378601

2014-7-21	14:18:41	32.481552	12.408013	3.197866	3.784180	39.679165	122.916031

2014-7-21	14:19:11	32.483398	12.408013	3.134122	3.781738	38.888226	122.843712

2014-7-21	14:19:41	32.485245	12.408013	3.112873	3.906250	38.624569	126.895485

2014-7-21	14:20:11	32.479702	12.408013	3.164813	3.896484	39.269043	126.556648

2014-7-21	14:20:41	32.483398	12.408013	2.979481	3.898926	36.969440	126.650360

2014-7-21	14:21:11	32.487095	12.409983	2.952331	3.942871	36.638374	128.092422

2014-7-21	14:21:41	32.485245	12.408013	3.077460	3.801270	38.185158	123.485168

2014-7-21	14:22:11	32.487099	12.404074	3.125859	3.869629	38.773380	125.713013

2014-7-21	14:22:41	32.487095	12.406043	2.921639	3.881836	36.245979	126.109573

